team,year,segment,attendance,avg_ticket_price,win_pct,playoff,new_stadium,log_attendance,log_price,predicted_log_att,residual
SDN,2013,non_playoff,2166691,15.99,0.469,0,0,14.588711676903921,2.771963526845863,14.483147013834694,0.1055646630692273
SFN,2013,non_playoff,3369106,30.09,0.469,0,0,15.030157985235967,3.4041928906419536,14.700472323824245,0.3296856614117214
SEA,2013,non_playoff,1761546,28.45,0.438,0,0,14.381702390529757,3.34814816057234,14.626527117393284,-0.24482472686352708
SLN,2013,playoff_caliber,3369769,33.11,0.599,1,0,15.030354753985096,3.4998353515591547,14.897790682120608,0.13256407186448804
TBA,2013,playoff_caliber,1510300,20.39,0.564,1,0,14.227818864554433,3.015044584586364,14.683004409637137,-0.4551855450827045
TEX,2013,playoff_caliber,3178273,22.54,0.558,0,0,14.97184852547304,3.11529150861163,14.740100585062788,0.23174794041025315
TOR,2013,non_playoff,2536562,32.98,0.457,0,0,14.74632017882045,3.4959013171314526,14.711271292828847,0.035048885991603385
WAS,2013,non_playoff,2652422,35.24,0.531,0,0,14.790983742817357,3.562181801067979,14.854058613134264,-0.06307487031690684
ARI,2015,non_playoff,2080145,17.98,0.488,0,0,14.547948160786225,2.8892600290434745,14.532135621180501,0.01581253960572404
ATL,2015,non_playoff,2001392,19.14,0.414,0,0,14.509353496428545,2.9517803860248084,14.422131890658514,0.08722160577003102
BAL,2015,non_playoff,2281202,24.97,0.5,0,0,14.640213054995682,3.217675104291682,14.66445105055356,-0.024237995557877312
BOS,2015,non_playoff,2880694,52.34,0.481,0,0,14.873541795305208,3.9577608971019997,14.887874006101034,-0.014332210795826583
CHN,2015,playoff_caliber,2919122,44.81,0.599,1,0,14.88679344409818,3.802431328798052,14.978720484845132,-0.09192704074695257
CHA,2015,non_playoff,1755810,26.05,0.469,0,0,14.378440846867527,3.260017768199376,14.62782705823865,-0.2493862113711227
CIN,2015,non_playoff,2419506,22.03,0.395,0,0,14.699073945063644,3.092405160814252,14.432905213687526,0.2661687313761174
CLE,2015,non_playoff,1388905,22.38,0.503,0,0,14.14402622486903,3.108167702883779,14.631591793856577,-0.4875655689875469
COL,2015,non_playoff,2506789,23.65,0.42,0,0,14.734513209258566,3.1633631149379418,14.506367591998082,0.2281456172604841
DET,2015,non_playoff,2726048,29.01,0.46,0,0,14.81836349930076,3.367640598133313,14.649328415413885,0.16903508388687527
MIA,2015,non_playoff,1752235,28.96,0.438,0,0,14.376402673903616,3.365915567517516,14.609548691114817,-0.23314601721120098
HOU,2015,playoff_caliber,2153585,31.82,0.531,1,0,14.582644453326566,3.4600950229096408,14.764692107598608,-0.18204765427204173
KCA,2015,playoff_caliber,2708549,29.76,0.586,1,0,14.811923625110834,3.393165209964891,14.820492742146548,-0.008569117035714058
ANA,2015,non_playoff,3012765,27.54,0.525,0,0,14.918368819717175,3.315639493300509,14.737138670085052,0.18123014963212292
LAN,2015,playoff_caliber,3764815,28.61,0.568,1,0,15.141209281222691,3.3537563070620187,14.781999747287202,0.3592095339354895
MIL,2015,non_playoff,2542558,26.32,0.42,0,0,14.748681218837381,3.2703291064571163,14.543136553701578,0.20554466513580394
MIN,2015,non_playoff,2220054,32.59,0.512,0,0,14.613042077876955,3.4840054928494704,14.77496451013981,-0.1619224322628554
NYN,2015,playoff_caliber,2569753,25.3,0.556,1,0,14.759320343303225,3.2308043957334744,14.722661628396143,0.03665871490708206
NYA,2015,playoff_caliber,3193795,51.55,0.537,1,0,14.976720422854457,3.942552210462969,14.93951850083399,0.03720192202046668
OAK,2015,non_playoff,1768175,24.0,0.42,0,0,14.385458499181793,3.1780538303479458,14.511417443307229,-0.1259589441254363
PHI,2015,non_playoff,1831080,37.42,0.389,0,0,14.420416514673782,3.6222053208459437,14.60278195099514,-0.1823654363213585
PIT,2015,playoff_caliber,2498596,19.99,0.605,1,0,14.731239532082082,2.995232148512309,14.709219839486849,0.022019692595232954
SDN,2015,non_playoff,2459752,16.37,0.457,0,0,14.715571089818443,2.7954503913830435,14.447409329133487,0.268161760684956
SFN,2015,non_playoff,3375882,33.78,0.519,0,0,15.032167181480492,3.519868911379654,14.798150416178004,0.2340167653024885
SEA,2015,non_playoff,2193581,31.0,0.469,0,0,14.601045926191771,3.4339872044851463,14.687628079568158,-0.08658215337638708
SLN,2015,playoff_caliber,3520889,34.2,0.617,1,0,15.074224072505357,3.5322256440685598,14.909513066549254,0.16471100595610366
TBA,2015,non_playoff,1287054,21.9,0.494,0,0,14.067866443740007,3.086486636822455,14.609702439651604,-0.5418359959115975
TEX,2015,playoff_caliber,2491875,23.64,0.543,1,0,14.728545997117756,3.1629401925378975,14.680415829876399,0.048130167241357213
TOR,2015,playoff_caliber,2794891,25.14,0.574,1,0,14.843303665599795,3.2244602031621015,14.7459571762803,0.09734648931949508
WAS,2015,non_playoff,2619843,36.02,0.512,0,0,14.778624950277663,3.58407433974781,14.80936261693115,-0.03073766665348643
