team,year,attendance,win_pct,avg_ticket_price,playoff,new_stadium,log_attendance,log_price,log_win_pct,is_playoff_caliber
ARI,2013,2134895,0.5,16.89,0,0,14.573928023107602,2.826721730819709,-0.6931471805599453,0
ATL,2013,2548679,0.593,17.32,1,0,14.751085743690249,2.851861903134289,-0.5225608799844117,1
BAL,2013,2357561,0.525,23.89,0,0,14.673138168022446,3.173459961337718,-0.6443570163905132,0
BOS,2013,2833333,0.599,53.38,1,0,14.856964315145369,3.9774361439763783,-0.5124936808666878,1
CHN,2013,2642682,0.407,44.55,0,0,14.787304868526999,3.796612153916818,-0.8989420935395421,0
CHA,2013,1768413,0.389,26.05,0,0,14.385593092185196,3.260017768199376,-0.9441759353636907,0
CIN,2013,2492101,0.556,21.35,1,0,14.7286366877632,3.0610517396746335,-0.5869869847315546,1
CLE,2013,1572926,0.568,19.59,1,0,14.268448137068592,2.9750192319564492,-0.5656338602609858,1
COL,2013,2793828,0.457,23.65,0,0,14.842923256417363,3.1633631149379418,-0.7830718880879323,0
DET,2013,3083397,0.574,26.36,1,0,14.941542469255966,3.2718477096343066,-0.5551258826625707,1
MIA,2013,1586322,0.383,29.27,0,0,14.276928687051559,3.3765631007037946,-0.959720289801491,0
HOU,2013,1651883,0.315,30.09,0,0,14.317426407310425,3.4041928906419536,-1.155182640156504,0
KCA,2013,1750754,0.531,19.83,0,0,14.375557110250268,2.9871959425317045,-0.6329932577401982,0
ANA,2013,3019505,0.481,27.54,0,0,14.920603468632017,3.315639493300509,-0.731888008876376,0
LAN,2013,3743527,0.568,22.37,1,0,15.135538773128536,3.107720775502038,-0.5656338602609858,1
MIL,2013,2531105,0.457,24.95,0,0,14.74416652424558,3.2168738221975275,-0.7830718880879323,0
MIN,2013,2477644,0.407,32.59,0,0,14.72281866660517,3.4840054928494704,-0.8989420935395421,0
NYN,2013,2135657,0.457,25.3,0,0,14.574284885643445,3.2308043957334744,-0.7830718880879323,0
NYA,2013,3279589,0.525,51.55,0,0,15.003228667630966,3.942552210462969,-0.6443570163905132,0
OAK,2013,1809302,0.593,22.12,1,0,14.408451693506455,3.096482176654134,-0.5225608799844117,1
PHI,2013,3012403,0.451,37.42,0,0,14.91824865709252,3.6222053208459437,-0.7962879394794586,0
PIT,2013,2256862,0.58,17.21,1,0,14.629485910820033,2.845490610223448,-0.5447271754416722,1
