league,season,team,player,nation,pos,age,NINETIES,Performance_Gls,Performance_Ast,Performance_G+A,Performance_CrdY,Performance_CrdR,Standard_Sh,Standard_SoT,Standard_Sh/90,Standard_SoT/90,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Pass_Cmp,Pass_Att,Pass_CmpPct,Pass_PrgDist,Pass_Ast,Pass_KP,Pass_Final3rd,Pass_PPA,SCA90,GCA90,Touches,Carries,Carry_PrgDist,Carry_Final3rd,Carry_PPA
ENG-Premier League,2425,Aston Villa,Marco Asensio,ESP,MF,28,8.3,3,1,4,2,0,24,11,2.91,1.33,11,8,2,38,2,5,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Marcus Rashford,ENG,"FW,MF",26,4.9,2,2,4,0,0,19,7,3.85,1.42,1,3,1,28,1,7,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Matty Cash,POL,DF,26,23.0,1,1,2,7,0,13,6,0.57,0.26,27,20,1,40,22,31,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Morgan Rogers,ENG,MF,22,34.6,8,10,18,10,0,55,20,1.59,0.58,49,51,2,28,6,22,,,,,10,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Ollie Watkins,ENG,FW,28,28.9,16,8,24,2,0,84,40,2.91,1.39,29,33,16,7,7,7,,,,,8,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Pau Torres,ESP,DF,27,22.4,0,0,0,2,0,8,3,0.36,0.13,8,7,0,4,9,15,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,34,2.5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Ross Barkley,ENG,MF,30,6.5,3,1,4,3,0,16,6,2.48,0.93,8,3,0,1,10,4,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Tyrone Mings,ENG,DF,31,12.4,0,0,0,1,0,9,1,0.72,0.08,4,11,0,1,7,6,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Youri Tielemans,BEL,MF,27,33.6,3,7,10,4,0,41,13,1.22,0.39,41,56,0,118,22,58,,,,,7,,,,,,,,,,
