match_id,team,Date,baseline,goals_scored,rest,home_adv,form,opp_form,season_stage,travel,predicted
1924,Arsenal,2021-08-28,0.880697731728931,0,0.06328394596899987,0.0,0.9098099129798457,-0.42394157636295493,0.0009312433004239048,0.06520223288348526,1.4959834904987308
1925,Liverpool,2021-08-28,0.880697731728931,1,0.06711933663378775,0.34261488630415415,1.2429518367429717,-0.4747052860948023,0.0009312433004239048,0.0,2.0596097486154665
1925,Chelsea,2021-08-28,0.880697731728931,1,0.06328394596899987,0.0,0.7894802675050234,-0.7473724569808554,0.0009312433004239048,0.06520223288348526,1.052222964406008
1926,Brighton,2021-08-28,0.880697731728931,0,0.06711933663378775,0.34261488630415415,0.7128759480149796,-0.35858300651199226,0.0009312433004239048,0.0,1.645656139470284
1926,Everton,2021-08-28,0.880697731728931,2,0.06711933663378775,0.0,0.5963578165154604,-0.42864400135295466,0.0009312433004239048,0.05238281082503731,1.1688449376506855
1927,Wolves,2021-08-29,0.880697731728931,0,0.06711933663378775,0.34261488630415415,0.16793894071339718,-0.38434408877264986,0.0009312433004239048,0.0,1.074958049908044
1927,Man United,2021-08-29,0.880697731728931,1,0.06711933663378775,0.0,0.6392009587978517,-0.10097972828346083,0.0009312433004239048,0.05238281082503731,1.5393523530025706
1928,Tottenham,2021-08-29,0.880697731728931,1,0.06711933663378775,0.34261488630415415,0.8911307338431659,-0.22791734728775076,0.0009312433004239048,0.0,1.9545765845227119
1928,Watford,2021-08-29,0.880697731728931,0,0.07031549552111097,0.0,0.37904833499122687,-0.5358265271072141,0.0009312433004239048,0.05238281082503731,0.8475490892595159
1929,Burnley,2021-08-29,0.880697731728931,1,0.07031549552111097,0.34261488630415415,0.15696952825195,-0.5441757737978933,0.0009312433004239048,0.0,0.9073531113086768
1929,Leeds,2021-08-29,0.880697731728931,1,0.07031549552111097,0.0,0.9050163291881194,-0.09438394838226143,0.0009312433004239048,0.05238281082503731,1.8149596621813608
1930,Southampton,2021-09-11,0.880697731728931,0,0.08203474477462948,0.34261488630415415,0.298973551116184,-0.6144542641329247,0.0009312433004239048,0.0,0.9907978930913978
1930,West Ham,2021-09-11,0.880697731728931,0,0.08203474477462948,0.0,1.0218961764845098,-0.1797693127478757,0.0009312433004239048,0.05238281082503731,1.8581733943656555
1931,Watford,2021-09-11,0.880697731728931,0,0.08065600956833317,0.34261488630415415,0.31707625635868447,-0.050489864141730414,0.0009312433004239048,0.0,1.571486263118796
1931,Wolves,2021-09-11,0.880697731728931,2,0.08065600956833317,0.0,0.08396947035669859,-0.19065425848361742,0.0009312433004239048,0.05238281082503731,0.9079830072958066
1932,Chelsea,2021-09-11,0.880697731728931,3,0.08203474477462948,0.34261488630415415,0.8199137632960819,-0.45690454474513315,0.0009312433004239048,0.0,1.669287824659087
1932,Aston Villa,2021-09-11,0.880697731728931,0,0.08203474477462948,0.0,0.7598759330807424,-0.493004592513208,0.0009312433004239048,0.05238281082503731,1.2829178711965559
1933,Man United,2021-09-11,0.880697731728931,4,0.08065600956833317,0.34261488630415415,0.7872914718968529,-0.36574546766036864,0.0009312433004239048,0.0,1.7264458751383263
1933,Newcastle,2021-09-11,0.880697731728931,1,0.08203474477462948,0.0,0.6082696740596067,-0.47338918879871245,0.0009312433004239048,0.05238281082503731,1.1509270158899159
1934,Crystal Palace,2021-09-11,0.880697731728931,3,0.08203474477462948,0.34261488630415415,0.26255270996832897,-0.5746956029125753,0.0009312433004239048,0.0,0.9941357131638922
1934,Tottenham,2021-09-11,0.880697731728931,0,0.08065600956833317,0.0,0.955773722373867,-0.15786988532894292,0.0009312433004239048,0.05238281082503731,1.8125716324676493
1935,Brentford,2021-09-11,0.880697731728931,0,0.08203474477462948,0.34261488630415415,0.3295095628962668,-0.44440875519570344,0.0009312433004239048,0.0,1.1913794138087017
1935,Brighton,2021-09-11,0.880697731728931,1,0.08203474477462948,0.0,0.7390942405967028,-0.19813026083600027,0.0009312433004239048,0.05238281082503731,1.557010510389724
1936,Arsenal,2021-09-11,0.880697731728931,1,0.08203474477462948,0.34261488630415415,0.7100091342160648,-0.0003125884035203384,0.0009312433004239048,0.0,2.0159751519206828
1936,Norwich,2021-09-11,0.880697731728931,0,0.08203474477462948,0.0,0.0005198643951500482,-0.426920219618808,0.0009312433004239048,0.05238281082503731,0.5896461754053637
1937,Leicester,2021-09-11,0.880697731728931,0,0.08203474477462948,0.34261488630415415,0.5094340830150511,-0.44205754270070363,0.0009312433004239048,0.0,1.373655146422486
1937,Man City,2021-09-11,0.880697731728931,1,0.08203474477462948,0.0,0.735183949466844,-0.30631677836401944,0.0009312433004239048,0.05238281082503731,1.444913701731846
1938,Leeds,2021-09-12,0.880697731728931,0,0.08203474477462948,0.34261488630415415,0.7926470682289157,-0.7060337627959766,0.0009312433004239048,0.0,1.3928919115410774
1938,Liverpool,2021-09-12,0.880697731728931,3,0.08326834995921037,0.0,1.174201636778127,-0.4766094464715921,0.0009312433004239048,0.05238281082503731,1.7148723261201375
1939,Everton,2021-09-13,0.880697731728931,3,0.08437859462533318,0.34261488630415415,0.7233525378013003,-0.07275716913771141,0.0009312433004239048,0.0,1.9592178246224308
