PLAYER_NAME,USG_PCT,AST_PCT,REB_PCT,OREB_PCT,DREB_PCT,TS_PCT,E_TOV_PCT,PACE,MIN_TOTAL,GP,CLUSTER,ARCHETYPE,DIST_TO_CENTROID
Francisco Garcia,0.14700000000000002,0.109,0.047,0.017,0.076,0.434,9.35,97.57,1283.7,69,0,3-and-D / Role Player,2.0472446479216213
Frank Kaminsky,0.166,0.095,0.094,0.038,0.15,0.513,7.8,97.74,1709.1000000000001,81,0,3-and-D / Role Player,1.450659008190445
Garrett Temple,0.138,0.13366666666666666,0.055999999999999994,0.028,0.08533333333333333,0.49500000000000005,11.933333333333332,97.93333333333334,3322.7,207,0,3-and-D / Role Player,1.3312707663879821
Gary Harris,0.16,0.077,0.043,0.0235,0.065,0.4805,10.85,99.19,3160.1,131,0,3-and-D / Role Player,1.7791374483973779
Gary Neal,0.2233333333333333,0.12933333333333333,0.04933333333333333,0.011333333333333334,0.08800000000000001,0.5236666666666667,8.433333333333334,96.75666666666666,3114.2,146,0,3-and-D / Role Player,1.6038670879215435
George Hill,0.18099999999999997,0.21033333333333334,0.062,0.022000000000000002,0.09999999999999999,0.5656666666666667,8.433333333333334,94.68666666666667,6223.9,193,0,3-and-D / Role Player,2.0185542253946616
Gerald Green,0.23399999999999999,0.084,0.05833333333333333,0.02,0.09566666666666668,0.536,9.0,97.35666666666667,5331.2,225,0,3-and-D / Role Player,1.6803462192417336
Gerald Henderson,0.20966666666666667,0.12433333333333334,0.064,0.016,0.11133333333333334,0.5156666666666667,8.7,94.83,6208.8,229,0,3-and-D / Role Player,1.5142407738580563
Gerald Wallace,0.1015,0.101,0.0875,0.041999999999999996,0.135,0.487,22.4,95.815,1699.9999999999998,90,3,Glass Anchor / Traditional Center,4.278842906747568
Giannis Antetokounmpo,0.18733333333333335,0.14933333333333335,0.10433333333333333,0.041666666666666664,0.16566666666666666,0.5453333333333333,13.6,94.95333333333333,7261.6,238,1,Scoring Big / Power Forward,1.8295303881261318
Glen Davis,0.184,0.0765,0.098,0.055,0.14150000000000001,0.493,9.9,95.845,2562.0,142,1,Scoring Big / Power Forward,1.5355381000951007
Glenn Robinson III,0.15,0.07050000000000001,0.069,0.038,0.1005,0.4895,9.75,99.03999999999999,771.0,80,0,3-and-D / Role Player,1.385491748253222
Goran Dragic,0.221,0.254,0.052,0.027333333333333334,0.07633333333333332,0.5726666666666667,11.166666666666666,96.67999999999999,7665.599999999999,226,2,Ball-Dominant Playmaker,1.3931633841819673
Gordon Hayward,0.24466666666666667,0.20966666666666667,0.072,0.022000000000000002,0.12366666666666666,0.5486666666666666,11.233333333333334,92.71999999999998,8313.2,233,2,Ball-Dominant Playmaker,2.3440572796913832
Gorgui Dieng,0.16033333333333333,0.09333333333333334,0.15133333333333332,0.09833333333333334,0.20533333333333334,0.5693333333333334,14.5,96.94,5228.200000000001,215,3,Glass Anchor / Traditional Center,0.6032731189725862
Greg Monroe,0.22533333333333336,0.11599999999999999,0.15166666666666667,0.09533333333333334,0.21366666666666667,0.5473333333333333,10.6,95.44333333333333,7143.3,230,1,Scoring Big / Power Forward,1.5521429970548666
Greg Stiemsma,0.097,0.066,0.125,0.11099999999999999,0.139,0.6505,27.9,94.95,1072.8,72,3,Glass Anchor / Traditional Center,5.5779158211903255
Greivis Vasquez,0.19699999999999998,0.29233333333333333,0.052333333333333336,0.011000000000000001,0.09333333333333334,0.49533333333333335,11.833333333333334,93.73,4230.1,184,2,Ball-Dominant Playmaker,1.5191364627761692
Harrison Barnes,0.15633333333333332,0.075,0.08033333333333333,0.03933333333333333,0.11833333333333333,0.5393333333333333,7.733333333333333,100.14999999999999,6567.4,226,0,3-and-D / Role Player,1.959678113534887
Hassan Whiteside,0.2015,0.0155,0.20900000000000002,0.125,0.2875,0.624,12.5,93.525,3266.7000000000003,121,3,Glass Anchor / Traditional Center,3.6130704981701247
Hedo Turkoglu,0.146,0.10350000000000001,0.0905,0.0175,0.1595,0.5469999999999999,10.399999999999999,97.33,1098.2,100,0,3-and-D / Role Player,1.4995659413946052
Henry Sims,0.18300000000000002,0.08800000000000001,0.12933333333333333,0.08700000000000001,0.17833333333333334,0.52,11.333333333333334,98.19333333333333,2538.7999999999997,133,1,Scoring Big / Power Forward,1.4292839385710832
Hollis Thompson,0.14066666666666666,0.072,0.06066666666666667,0.03,0.09466666666666668,0.5443333333333333,9.566666666666666,99.63333333333333,5671.2,225,0,3-and-D / Role Player,1.6367537653243869
Ian Clark,0.18566666666666665,0.13833333333333334,0.051,0.02,0.08166666666666667,0.504,12.9,97.84333333333335,945.3000000000001,119,0,3-and-D / Role Player,1.4942199308161401
Ian Mahinmi,0.13033333333333333,0.055333333333333325,0.13066666666666668,0.08366666666666667,0.17700000000000002,0.5523333333333333,15.833333333333334,96.14666666666666,4211.8,209,3,Glass Anchor / Traditional Center,1.0861081887458606
Iman Shumpert,0.147,0.11133333333333334,0.07733333333333332,0.03466666666666667,0.11933333333333333,0.484,11.799999999999999,93.47333333333334,4822.4,190,0,3-and-D / Role Player,2.0049274314168866
Isaiah Canaan,0.20066666666666666,0.151,0.043666666666666666,0.017333333333333333,0.07133333333333333,0.5226666666666667,11.5,100.0,3156.5,146,0,3-and-D / Role Player,2.1331807273468484
Isaiah Thomas,0.27133333333333337,0.29933333333333334,0.042666666666666665,0.017666666666666667,0.06833333333333334,0.572,10.266666666666667,98.86333333333334,6867.400000000001,221,2,Ball-Dominant Playmaker,2.308849488112804
Ish Smith,0.20866666666666667,0.3443333333333333,0.06166666666666667,0.021333333333333333,0.10433333333333333,0.4446666666666667,11.4,98.77333333333333,4079.2000000000003,202,2,Ball-Dominant Playmaker,2.0591416144440644
J.J. Barea,0.2253333333333333,0.3163333333333333,0.04766666666666667,0.014,0.083,0.503,9.5,97.35000000000001,4497.3,230,2,Ball-Dominant Playmaker,1.1957675179545002
JJ Hickson,0.20733333333333334,0.08166666666666667,0.15166666666666664,0.09533333333333334,0.20866666666666667,0.513,12.166666666666666,99.09666666666668,3702.5,177,3,Glass Anchor / Traditional Center,2.035136088963508
