club,date,views,log_views,match_day,home_match,goals_scored,goals_conceded,margin,win,draw,loss,day_after_match,day_after_win,day_after_draw,day_after_loss,cum_form,dow,month
Arsenal,2019-09-23,8904,9.094368195723762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0,9
Arsenal,2019-09-24,10705,9.278559610953327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,9
Arsenal,2019-09-25,10297,9.239704980606087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2,9
Arsenal,2019-09-26,8161,9.00724451596575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3,9
Arsenal,2019-09-27,9371,9.145481799627687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,9
Arsenal,2019-09-28,8095,8.999125391527247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,9
Arsenal,2019-09-29,8064,8.99528899055931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,9
Arsenal,2019-09-30,16616,9.718181546701214,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,9
Arsenal,2019-10-01,13595,9.517530910816006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1,10
Arsenal,2019-10-02,8579,9.057189192482008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,10
Arsenal,2019-10-03,12188,9.408289184655837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,10
Arsenal,2019-10-04,10827,9.289890650734192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,10
