event,relative_day,n_articles,mean_sentiment,mean_bert,pct_bert_positive
Durant to Suns,-28,10,0.11629,0.7720154106616974,0.9
Durant to Suns,-27,10,0.10272,0.39380828738212587,0.7
Durant to Suns,-26,10,0.14640999999999998,-3.433823585510254e-05,0.5
Durant to Suns,-25,10,0.14689,-0.4429864466190338,0.3
Durant to Suns,-24,9,0.16684444444444443,-0.14630651473999023,0.4444444444444444
Durant to Suns,-23,10,0.010059999999999996,-0.16352842450141908,0.4
Durant to Suns,-22,13,0.030846153846153853,-0.19035744667053223,0.38461538461538464
Durant to Suns,-21,13,0.06709230769230769,-0.34871843686470616,0.3076923076923077
Durant to Suns,-20,9,0.14408888888888888,0.10260435607698229,0.5555555555555556
Durant to Suns,-19,10,0.17029,0.21816911101341246,0.6
Durant to Suns,-18,10,0.26358000000000004,0.6073037624359131,0.8
Durant to Suns,-17,10,0.08647000000000002,0.7474868774414063,0.9
Durant to Suns,-16,12,-0.03454166666666666,0.16835671663284302,0.5833333333333334
Durant to Suns,-15,16,-0.12188125,-0.21257954090833664,0.375
Durant to Suns,-14,17,-0.02684117647058823,0.18505413392010858,0.5882352941176471
Durant to Suns,-13,13,0.07100000000000001,0.07573048426554753,0.5384615384615384
Durant to Suns,-12,10,0.11713,-0.2025997221469879,0.4
Durant to Suns,-11,11,0.10891818181818183,-0.0756095214323564,0.45454545454545453
Durant to Suns,-10,14,0.08557857142857143,-0.12580508845193045,0.42857142857142855
Durant to Suns,-9,10,0.22874,-0.2034567654132843,0.4
Durant to Suns,-8,10,0.23132000000000003,0.0031137347221374513,0.5
Durant to Suns,-7,10,0.16497,0.20171602964401245,0.6
Durant to Suns,-6,3,0.4342,0.3256111939748128,0.6666666666666666
Durant to Suns,-5,16,-0.034306249999999996,-0.5786768198013306,0.1875
Durant to Suns,-4,18,-0.029111111111111112,-0.43652814957830643,0.2777777777777778
Durant to Suns,-3,21,0.0981904761904762,-0.2163783936273484,0.38095238095238093
Durant to Suns,-2,29,0.10189655172413793,0.09833086770156334,0.5517241379310345
Durant to Suns,-1,100,0.08601700000000001,0.049122338891029356,0.52
Durant to Suns,0,100,0.08297700000000001,0.03449049711227417,0.51
Durant to Suns,1,39,0.05558974358974359,-0.07240999509126712,0.46153846153846156
Durant to Suns,2,16,0.0073937499999999975,-0.13281160593032837,0.4375
Durant to Suns,3,19,0.17279999999999998,-0.13813785189076475,0.42105263157894735
Durant to Suns,4,17,0.25513529411764707,0.18615048422532923,0.5882352941176471
Durant to Suns,5,10,0.21871000000000002,0.40099969506263733,0.7
Durant to Suns,6,22,0.06818636363636364,0.01223456317728216,0.5
Durant to Suns,7,30,-0.043206666666666664,-0.08112647136052449,0.43333333333333335
Durant to Suns,8,30,0.07532333333333334,0.0809139370918274,0.5333333333333333
Durant to Suns,9,18,0.15936666666666666,0.21892934706476,0.6111111111111112
Durant to Suns,10,10,0.17162000000000002,0.04597911238670349,0.5
Durant to Suns,11,11,0.0735,-0.09009428457780318,0.45454545454545453
Durant to Suns,12,10,0.20086000000000004,0.3942090570926666,0.7
Durant to Suns,13,10,0.22857000000000002,0.20066492557525634,0.6
Durant to Suns,14,19,0.06980526315789475,0.04922043336065192,0.5263157894736842
Harden to Nets,-30,19,0.09341052631578947,0.24315032206083598,0.631578947368421
Harden to Nets,-29,32,0.081953125,-0.21513646841049194,0.40625
Harden to Nets,-28,26,-0.008373076923076924,-0.46824316336558414,0.2692307692307692
Harden to Nets,-27,15,0.08112,0.14105672836303712,0.6
Harden to Nets,-26,11,0.2858,0.006377794525840066,0.5454545454545454
Harden to Nets,-25,10,0.23618999999999998,0.020433926582336427,0.5
Harden to Nets,-24,11,0.01684545454545455,-0.11615478450601752,0.45454545454545453
Harden to Nets,-23,24,-0.0534,-0.4307963475584984,0.2916666666666667
Harden to Nets,-22,53,-0.1767452830188679,-0.7362996193597902,0.1320754716981132
Harden to Nets,-21,54,-0.22387777777777776,-0.7388134245519284,0.12962962962962962
Harden to Nets,-20,23,-0.23597391304347828,-0.7092218088067096,0.13043478260869565
Harden to Nets,-19,12,-0.09072499999999999,-0.3510260283946991,0.3333333333333333
Harden to Nets,-18,14,-0.03879285714285714,0.11323766623224531,0.5714285714285714
Harden to Nets,-17,13,-0.07259230769230769,-0.362061633513524,0.3076923076923077
Harden to Nets,-16,8,-0.1582125,-0.7403965666890144,0.125
Harden to Nets,-15,9,0.19491111111111112,0.5978364613321092,0.7777777777777778
Harden to Nets,-14,10,0.08413999999999999,0.3571566164493561,0.7
Harden to Nets,-13,10,0.08270999999999999,0.3644342184066772,0.7
Harden to Nets,-12,10,0.16845,0.023795580863952635,0.5
Harden to Nets,-11,9,0.21942222222222224,-0.5304334627257453,0.2222222222222222
Harden to Nets,-10,10,0.14414,-0.7764424324035645,0.1
Harden to Nets,-9,10,0.12057999999999999,-0.39765498638153074,0.3
Harden to Nets,-8,10,0.12895,0.5855337500572204,0.8
Harden to Nets,-7,10,-0.04069999999999999,0.38838043212890627,0.7
Harden to Nets,-6,10,0.08376000000000003,0.00816839337348938,0.5
Harden to Nets,-5,10,0.18037,0.2370133578777313,0.6
Harden to Nets,-4,10,0.18136000000000002,0.08230348229408264,0.5
Harden to Nets,-3,10,0.07519,0.08906365036964417,0.5
Harden to Nets,-2,11,-0.052063636363636374,-0.26764741810885345,0.36363636363636365
Harden to Nets,-1,100,0.06735200000000001,-0.06606780052185059,0.46
Harden to Nets,0,100,0.07891400000000001,-0.045113940238952634,0.47
Harden to Nets,1,100,0.161918,0.2595679980516434,0.64
Harden to Nets,2,73,0.09187260273972603,0.26309269911622346,0.6438356164383562
Harden to Nets,3,52,0.07605192307692307,0.4015490343937507,0.7115384615384616
Harden to Nets,4,32,0.12198124999999999,0.5537240263074636,0.78125
Harden to Nets,5,21,0.06985238095238096,0.3520013831910633,0.6666666666666666
Harden to Nets,6,25,0.041232,0.20646280527114869,0.6
Harden to Nets,7,23,0.01632608695652174,0.046602850374968155,0.5217391304347826
Harden to Nets,8,10,0.008429999999999997,-0.18330391645431518,0.4
Harden to Nets,9,10,0.08451,-0.2137792706489563,0.4
Harden to Nets,10,10,0.15457,0.20450950860977174,0.6
Harden to Nets,11,10,0.32927,0.3919922411441803,0.7
Harden to Nets,12,9,0.31173333333333336,0.3507572412490845,0.6666666666666666
Harden to Nets,13,10,0.16699,0.42149326801300047,0.7
Harden to Nets,14,10,0.28772000000000003,0.5975696206092834,0.8
