PLAYER_NAME,USG_PCT,AST_PCT,REB_PCT,OREB_PCT,DREB_PCT,TS_PCT,E_TOV_PCT,PACE,MIN_TOTAL,GP,CLUSTER,ARCHETYPE,DIST_TO_CENTROID
Johnny Juzang,0.17366666666666666,0.08700000000000001,0.06933333333333334,0.034333333333333334,0.10366666666666667,0.5703333333333332,8.0,103.42,1727.4,105,3,3-and-D / Role Player,1.438316935474153
Jonas Valančiūnas,0.22966666666666669,0.14966666666666667,0.19299999999999998,0.11533333333333333,0.268,0.617,11.5,99.06333333333333,4320.8,228,4,Glass Anchor / Traditional Center,2.4747891054677256
Jonathan Isaac,0.14466666666666667,0.055,0.13333333333333333,0.08466666666666667,0.18466666666666667,0.54,8.266666666666667,99.98333333333333,2529.8,181,1,Rim Protector / Defensive Big,1.917076486861133
Jonathan Kuminga,0.24466666666666667,0.14066666666666666,0.09766666666666667,0.04933333333333333,0.14733333333333334,0.5633333333333334,10.066666666666668,101.63333333333333,3919.9,157,1,Rim Protector / Defensive Big,1.6361625523590406
Jonathan Mogbo,0.1235,0.1595,0.122,0.0735,0.175,0.552,13.6,103.32,1533.1999999999998,103,1,Rim Protector / Defensive Big,2.2457627003747724
Jordan Clarkson,0.24233333333333337,0.19833333333333333,0.05366666666666667,0.03333333333333333,0.07466666666666667,0.5363333333333333,10.233333333333333,100.57,3926.6000000000004,164,0,Pass-First Guard,1.5080841856881395
Jordan Goodwin,0.161,0.15433333333333335,0.10633333333333334,0.075,0.14,0.5056666666666667,9.833333333333334,99.19333333333333,3171.8,156,1,Rim Protector / Defensive Big,2.2959606936869013
Jordan Hawkins,0.18899999999999997,0.082,0.05833333333333333,0.022333333333333334,0.09533333333333334,0.5056666666666666,8.200000000000001,101.90333333333335,3174.3,174,3,3-and-D / Role Player,1.614508164748551
Jordan McLaughlin,0.132,0.212,0.055,0.02466666666666667,0.08466666666666667,0.5933333333333334,9.533333333333333,100.46999999999998,1221.6,146,3,3-and-D / Role Player,1.6381347594009943
Jordan Miller,0.16833333333333333,0.09366666666666668,0.07233333333333333,0.06566666666666666,0.07933333333333333,0.5983333333333333,10.299999999999999,101.42666666666666,1775.8,105,3,3-and-D / Role Player,1.544385256751059
Jordan Poole,0.25733333333333336,0.217,0.042,0.011999999999999999,0.07366666666666667,0.5499999999999999,10.866666666666667,104.27666666666669,5279.1,185,0,Pass-First Guard,2.280981874333504
Jordan Walsh,0.10533333333333333,0.06366666666666666,0.09899999999999999,0.059666666666666666,0.13733333333333334,0.5196666666666666,11.833333333333334,97.42333333333333,1699.7,129,3,3-and-D / Role Player,3.0454798001978722
Jose Alvarado,0.17600000000000002,0.22533333333333336,0.055999999999999994,0.02033333333333333,0.09100000000000001,0.5353333333333333,9.033333333333333,99.86,3769.8999999999996,181,0,Pass-First Guard,1.3978429844022913
Josh Giddey,0.225,0.328,0.125,0.051333333333333335,0.19433333333333333,0.5596666666666666,12.366666666666667,103.75,5855.4,204,2,Ball-Dominant Playmaker,2.987508821604126
Josh Green,0.11599999999999999,0.08700000000000001,0.05266666666666667,0.03366666666666667,0.072,0.597,11.333333333333334,99.91666666666667,4305.8,183,3,3-and-D / Role Player,1.7721364577240917
Josh Hart,0.149,0.19399999999999998,0.12533333333333332,0.049999999999999996,0.20266666666666666,0.5816666666666667,10.799999999999999,97.50999999999999,7593.8,224,1,Rim Protector / Defensive Big,2.7953822115338225
Josh Minott,0.165,0.09933333333333333,0.08666666666666667,0.046000000000000006,0.128,0.617,8.033333333333333,105.44,1201.8,127,1,Rim Protector / Defensive Big,2.3964998853380988
Josh Okogie,0.14066666666666666,0.07933333333333333,0.07933333333333333,0.068,0.09133333333333334,0.5543333333333333,9.866666666666667,99.27333333333333,2941.2,178,3,3-and-D / Role Player,1.6196598929717505
Josh Richardson,0.14650000000000002,0.1305,0.049,0.0275,0.07100000000000001,0.4875,10.2,99.69,1250.3999999999999,51,0,Pass-First Guard,1.928798089596365
Jrue Holiday,0.18133333333333335,0.22399999999999998,0.07266666666666667,0.03933333333333333,0.10533333333333333,0.5783333333333333,10.233333333333334,100.59666666666665,5718.599999999999,184,0,Pass-First Guard,1.346995445323239
Julian Champagnie,0.15,0.08066666666666666,0.08166666666666667,0.030666666666666665,0.131,0.5853333333333333,8.366666666666667,102.62333333333333,5663.6,238,3,3-and-D / Role Player,1.318795464816374
Julian Phillips,0.127,0.043000000000000003,0.05933333333333333,0.04800000000000001,0.071,0.5419999999999999,7.8,103.54,1873.0,167,3,3-and-D / Role Player,2.008172754524294
Julian Strawther,0.18433333333333332,0.102,0.05533333333333334,0.011333333333333334,0.09700000000000002,0.5436666666666666,8.066666666666666,102.21666666666665,2790.2,172,3,3-and-D / Role Player,1.2818446433941295
Julius Randle,0.26366666666666666,0.224,0.11166666666666668,0.057999999999999996,0.16433333333333333,0.5823333333333333,11.5,99.86333333333334,6464.099999999999,194,2,Ball-Dominant Playmaker,1.7221582051466944
Justin Champagnie,0.15766666666666665,0.08833333333333333,0.11833333333333333,0.08166666666666667,0.157,0.5763333333333334,8.533333333333333,103.77666666666666,2954.7,146,1,Rim Protector / Defensive Big,1.254185101147779
Justin Edwards,0.1595,0.099,0.056,0.0315,0.082,0.5655,8.7,101.695,2132.0,108,3,3-and-D / Role Player,0.7004291368055712
Justin Holiday,0.104,0.098,0.04,0.01,0.069,0.598,5.1,99.78,864.2,58,3,3-and-D / Role Player,2.177507821561673
Jusuf Nurkić,0.19166666666666665,0.20466666666666666,0.18899999999999997,0.09366666666666668,0.2826666666666667,0.554,14.766666666666666,101.67,4218.0,168,4,Glass Anchor / Traditional Center,3.012219986114063
KJ Martin,0.1195,0.08399999999999999,0.07600000000000001,0.041999999999999996,0.11149999999999999,0.5905,9.75,101.0,1655.6,103,3,3-and-D / Role Player,1.1764701647369262
KJ Simpson,0.199,0.22799999999999998,0.066,0.038000000000000006,0.0965,0.4315,12.850000000000001,99.66999999999999,1100.4,56,0,Pass-First Guard,2.2396699585663478
Karl-Anthony Towns,0.26133333333333336,0.13966666666666666,0.17,0.07933333333333333,0.25699999999999995,0.6246666666666667,11.433333333333332,99.03333333333335,6872.4,209,4,Glass Anchor / Traditional Center,2.907109781930962
Karlo Matković,0.14150000000000001,0.081,0.122,0.0765,0.16599999999999998,0.6675,11.3,102.16499999999999,1701.0,104,1,Rim Protector / Defensive Big,2.100649529534131
Kasparas Jakučionis,0.129,0.178,0.067,0.04,0.096,0.614,11.0,106.96,943.4000000000001,53,0,Pass-First Guard,3.471592476652777
Kawhi Leonard,0.289,0.16833333333333333,0.09699999999999999,0.036,0.15266666666666667,0.6146666666666666,7.633333333333333,97.52,5599.2,170,2,Ball-Dominant Playmaker,2.38194018794368
Keaton Wallace,0.1625,0.244,0.0485,0.009,0.0885,0.5115000000000001,10.55,102.655,1037.5,84,0,Pass-First Guard,1.2156617019292852
Keegan Murray,0.16933333333333334,0.06433333333333334,0.085,0.04466666666666667,0.12733333333333333,0.5403333333333333,6.033333333333334,100.05333333333334,5987.5,176,3,3-and-D / Role Player,1.537484553178804
Kel'el Ware,0.17149999999999999,0.054,0.1735,0.1,0.2425,0.6094999999999999,8.5,102.04499999999999,3122.5,141,4,Glass Anchor / Traditional Center,2.375523453200669
Keldon Johnson,0.20666666666666667,0.11066666666666665,0.09666666666666666,0.05566666666666667,0.138,0.5833333333333334,7.3,102.65333333333335,5786.4,228,1,Rim Protector / Defensive Big,1.407467433346123
Kelly Olynyk,0.17200000000000001,0.226,0.10966666666666668,0.06433333333333334,0.15366666666666667,0.62,13.866666666666667,101.03333333333335,3005.0,164,1,Rim Protector / Defensive Big,2.4700043954686874
Kelly Oubre Jr.,0.19499999999999998,0.07466666666666666,0.083,0.04,0.12733333333333333,0.5553333333333333,8.133333333333333,99.46,5704.6,178,3,3-and-D / Role Player,1.3541357237610678
Kenrich Williams,0.15366666666666665,0.121,0.10333333333333333,0.062,0.14366666666666666,0.5746666666666665,8.433333333333334,101.09333333333335,3016.5,194,1,Rim Protector / Defensive Big,1.0771997548641057
Kentavious Caldwell-Pope,0.13999999999999999,0.119,0.043666666666666666,0.015,0.07333333333333333,0.5696666666666667,8.799999999999999,98.94,5767.1,204,3,3-and-D / Role Player,1.4118690411681918
Keon Ellis,0.12566666666666668,0.08733333333333333,0.054,0.028999999999999998,0.07966666666666666,0.6233333333333334,9.333333333333334,99.59999999999998,4408.4,209,3,3-and-D / Role Player,1.552553986132358
Keon Johnson,0.212,0.10949999999999999,0.0675,0.0375,0.1015,0.5445,12.45,99.41499999999999,1989.1,84,0,Pass-First Guard,1.8589619115471376
Kessler Edwards,0.122,0.087,0.08499999999999999,0.033,0.14,0.569,5.949999999999999,102.63,883.4,94,3,3-and-D / Role Player,1.820507380835518
Kevin Durant,0.2763333333333333,0.20133333333333334,0.082,0.013666666666666667,0.14433333333333334,0.6363333333333333,11.0,99.29,7892.2,215,2,Ball-Dominant Playmaker,1.7005248352903906
Kevin Huerter,0.17600000000000002,0.14100000000000001,0.06833333333333333,0.020666666666666667,0.11566666666666665,0.5533333333333333,7.566666666666666,102.10666666666667,4790.8,202,3,3-and-D / Role Player,1.1041678661142391
