PLAYER_NAME,PLAYER_POSITION,HEIGHT_IN,DRAFT_PICK
Brooks Barnhizer,SG,77.0,74
Leo Barnhorst,SF,76.0,61
John Barr,SF,75.0,61
Mike Barr,SG,75.0,540
Thomas Barr,SG,76.0,61
Andre Barrett,SG,70.0,61
Ernie Barrett,SG,68.0,7
RJ Barrett,SF,78.0,3
Earl Barron,PF,84.0,61
Dana Barros,SG,71.0,16
Brent Barry,SG,79.0,15
Drew Barry,SG,77.0,87
Jon Barry,SG,77.0,21
Rick Barry,SF,79.0,2
Ed Bartels,SF,78.0,61
Vic Bartolome,C,84.0,237
Will Barton,SG,77.0,70
Eddie Basden,SG,77.0,61
Jerry Baskerville,SF,79.0,61
Brandon Bass,SF,80.0,63
Paris Bass,SF,80.0,61
Tim Bassett,SF,80.0,286
Charles Bassey,PF,82.0,83
Maceo Baston,SF,82.0,88
Mengke Bateer,C,83.0,61
Billyray Bates,SG,76.0,107
Emoni Bates,SF,80.0,79
Keita Bates-Diop,SF,80.0,78
Esteban Batista,PF,82.0,61
Mike Batiste,SF,80.0,61
Tony Battie,C,83.0,5
Shane Battier,SF,80.0,6
Jamison Battle,SF,79.0,61
John Battle,SG,74.0,174
Kenny Battle,SG,78.0,27
Dave Batton,C,82.0,122
Nicolas Batum,SG,79.0,25
Damion Baugh,SG,76.0,61
Johnny Baum,SF,77.0,53
Frankie Baumholtz,SG,70.0,61
Lonny Baxter,SF,80.0,73
Jerryd Bayless,SG,75.0,11
Elgin Baylor,SF,77.0,1
Aron Baynes,PF,82.0,61
Sergei Bazarevich,SG,74.0,61
Kent Bazemore,SG,76.0,61
Darius Bazley,SF,81.0,23
Ed Beach,SF,75.0,61
Bradley Beal,SG,76.0,3
Butch Beard,SG,75.0,10
Ralph Beard,SG,70.0,61
Jerome Beasley,SF,81.0,63
Malik Beasley,SG,76.0,19
Michael Beasley,SF,81.0,2
Zelmo Beaty,C,81.0,3
Rodrigue Beaubois,SG,74.0,25
MarJon Beauchamp,SF,79.0,24
Byron Beck,C,81.0,45
Corey Beck,SG,75.0,61
Ernie Beck,SG,76.0,61
Moe Becker,Unknown,,61
William Bedford,C,84.0,6
Reece Beekman,SG,75.0,61
Hank Beenders,C,77.0,61
Ron Behagen,SF,81.0,7
Elmer Behnke,C,79.0,127
Marco Belinelli,SG,77.0,18
Charlie Bell,SG,75.0,61
Dennis Bell,SF,77.0,203
Jordan Bell,SF,80.0,68
Raja Bell,SG,77.0,61
Troy Bell,SG,73.0,16
William Bell,SG,72.0,61
Walt Bellamy,C,82.0,1
DeAndre' Bembry,SG,77.0,21
Irv Bemoras,SF,75.0,61
Leon Benbow,SG,76.0,57
Dragan Bender,SF,85.0,4
Jonathan Bender,SF,84.0,5
Jerrelle Benimon,Unknown,,61
Benoit Benjamin,C,84.0,3
Corey Benjamin,SG,78.0,28
Anthony Bennett,SF,80.0,1
Elmer Bennett,SG,72.0,68
Mario Bennett,PF,81.0,27
Mel Bennett,SF,79.0,61
Tony Bennett,SG,72.0,65
Winston Bennett,SG,79.0,124
David Benoit,SF,80.0,61
Keith Benson,PF,83.0,78
Kent Benson,C,83.0,1
Ben Bentil,SF,81.0,81
Gene Berce,SG,71.0,61
Gary Bergen,C,80.0,61
Joan Beringer,SF,83.0,17
Jules Bernard,SG,78.0,61
Ricky Berry,SF,80.0,18
Walter Berry,SF,80.0,14
Dairis Bertans,SG,76.0,61
Davis Bertans,SF,82.0,72
Del Beshore,SG,71.0,61
Travis Best,SG,71.0,23
Patrick Beverley,SG,74.0,72
Saddiq Bey,SG,80.0,19
Tyler Bey,SF,79.0,66
Sim Bhullar,C,89.0,61
