PLAYER_NAME,PLAYER_POSITION,HEIGHT_IN,DRAFT_PICK
Rakeem Christmas,SF,81.0,66
Semaj Christon,SG,75.0,85
Josh Christopher,SG,76.0,24
Patrick Christopher,Unknown,,61
Robert Churchwell,SF,78.0,61
Moussa Cisse,C,83.0,61
Sidy Cissoko,SG,78.0,74
Archie Clark,SG,74.0,127
Carlos Clark,SG,76.0,181
Earl Clark,SF,82.0,14
Gary Clark,SF,78.0,61
Ian Clark,SG,75.0,61
Jaylen Clark,SG,77.0,83
Keon Clark,PF,83.0,13
Brandon Clarke,SF,80.0,21
Coty Clarke,SF,79.0,61
Jordan Clarkson,SG,77.0,76
Gian Clavell,SG,76.0,61
Victor Claver,SF,81.0,22
Charles Claxton,C,84.0,80
Nic Claxton,C,83.0,61
Speedy Claxton,SG,71.0,20
Walter Clayton Jr.,SG,76.0,18
Jim Cleamons,SG,75.0,13
Mateen Cleaves,SG,74.0,14
John Clemens,SF,78.0,79
Chris Clemons,SG,69.0,61
Antonius Cleveland,SG,77.0,61
Nique Clifford,SG,77.0,24
Nat Clifton,C,78.0,61
Donovan Clingan,C,86.0,7
Bill Closs,SF,78.0,61
Keith Closs,C,87.0,61
Noah Clowney,PF,82.0,21
Paul Cloyd,Unknown,,61
Marion Cluggish,C,82.0,61
Ben Clyde,SF,79.0,209
Amir Coffey,SG,79.0,61
Richard Coffey,SG,78.0,61
Fred Cofield,SG,75.0,163
John Coker,C,84.0,61
Norris Cole,SG,74.0,28
Ben Coleman,SF,81.0,67
Derrick Coleman,PF,82.0,1
E.C. Coleman,SF,80.0,111
Jack Coleman,SF,79.0,61
Norris Coleman,SF,80.0,68
Bimbo Coles,SG,74.0,70
Isaiah Collier,SG,76.0,29
Jason Collier,C,84.0,15
Art Collins,SG,76.0,253
Don Collins,SG,78.0,18
Doug Collins,SG,78.0,1
James Collins,SG,76.0,66
Jarron Collins,C,83.0,82
Jason Collins,C,84.0,18
Jimmy Collins,SG,74.0,11
John Collins,PF,81.0,19
Mardy Collins,SG,78.0,29
Sherron Collins,SG,71.0,61
Yuri Collins,SG,72.0,61
Zach Collins,PF,81.0,10
Kyle Collinsworth,SG,78.0,61
Darren Collison,SG,72.0,21
Nick Collison,PF,82.0,12
Joe Colone,SF,77.0,61
Bonzie Colson,SF,78.0,61
Sean Colson,SG,72.0,61
Steve Colter,SG,75.0,63
Chance Comanche,C,82.0,61
Leroy Combs,SF,80.0,56
Dallas Comegys,C,81.0,21
Larry Comley,SG,77.0,361
Gene Conley,C,80.0,61
Mike Conley,SG,73.0,4
Ed Conlin,SF,78.0,5
Marty Conlon,SF,83.0,61
Pat Connaughton,SG,77.0,71
Lester Conner,SG,76.0,14
Chuck Connors,SF,77.0,61
Will Conroy,SG,74.0,61
Anthony Cook,SF,81.0,24
Bert Cook,SG,75.0,61
Bobby Cook,SG,70.0,61
Brian Cook,PF,81.0,24
Daequan Cook,SG,77.0,21
Darwin Cook,SG,75.0,160
Jeff Cook,SF,82.0,109
Norm Cook,SF,80.0,16
Omar Cook,SG,73.0,61
Quinn Cook,SG,73.0,61
Tyler Cook,SF,80.0,61
Charles Cooke,SG,77.0,61
David Cooke,SF,80.0,61
Javonte Cooke,SG,78.0,61
Joe Cooke,SG,75.0,244
Xavier Cooks,SF,80.0,61
Jack Cooley,PF,82.0,61
Chuck Cooper,SF,77.0,61
Duane Cooper,SG,73.0,66
Joe Cooper,C,82.0,215
Michael Cooper,SG,79.0,120
Sharife Cooper,SG,72.0,78
Wayne Cooper,C,82.0,70
Tom Copa,SF,82.0,61
Chris Copeland,SF,80.0,61
Hollis Copeland,SF,78.0,106
Lanard Copeland,SF,78.0,61
Tyrone Corbin,SF,78.0,65
Chris Corchiani,SG,72.0,66
Ken Corley,Unknown,,61
Ray Corley,SG,72.0,61
Petr Cornelie,SF,83.0,83
Dave Corzine,C,83.0,18
Larry Costello,SG,73.0,42
Matt Costello,PF,82.0,61
Bryce Cotton,SG,73.0,61
Jack Cotton,SF,79.0,61
James Cotton,SG,77.0,62
John Coughran,SF,79.0,194
Bilal Coulibaly,SG,79.0,7
Ricky Council IV,SG,78.0,61
Mel Counts,C,84.0,7
Steve Courtin,SG,73.0,84
Joe Courtney,SF,80.0,61
Marcus Cousin,SF,83.0,61
DeMarcus Cousins,C,82.0,5
Bob Cousy,SG,73.0,3
Robert Covington,SF,79.0,61
Cedric Coward,SG,77.0,11
Dave Cowens,C,81.0,4
John Cox,SG,74.0,369
Johnny Cox,SG,76.0,118
Wesley Cox,SF,78.0,18
Allen Crabbe,SG,78.0,61
Torrey Craig,SF,77.0,61
Chris Crawford,SF,81.0,80
Freddie Crawford,SG,76.0,116
Isaiah Crawford,SF,78.0,61
Jamal Crawford,SG,77.0,8
Joe Crawford,SG,77.0,88
Jordan Crawford,SG,77.0,27
Mitchell Creek,SF,78.0,61
Jim Creighton,SF,80.0,100
Ron Crevier,C,84.0,165
Hal Crisler,SF,75.0,61
Joe Crispin,SG,72.0,61
Charlie Criss,SG,68.0,61
Winston Crite,SF,79.0,113
Javaris Crittenton,SG,77.0,19
Dillard Crocker,SF,76.0,61
Jeffrey Crompton,C,83.0,160
Terry Crosby,SG,76.0,122
Austin Croshere,SF,82.0,12
Jeff Cross,SF,82.0,121
Pete Cross,C,81.0,53
Russell Cross,C,82.0,6
Francis Crossin,SG,73.0,6
John Crotty,SG,74.0,61
Mark Crow,SF,79.0,261
Corey Crowder,SF,77.0,61
Jae Crowder,SF,78.0,64
Jalen Crutcher,SG,73.0,61
LJ Cryer,SG,72.0,61
Yongxi Cui,SF,77.0,61
Jarrett Culver,SG,78.0,6
Jarron Cumberland,SG,77.0,61
Pat Cummings,C,81.0,119
Terry Cummings,SF,81.0,2
Vonteego Cummings,SG,75.0,26
Billy Cunningham,SF,78.0,5
Cade Cunningham,SG,78.0,1
Dante Cunningham,SF,80.0,63
Dick Cunningham,C,82.0,51
Jared Cunningham,SG,76.0,24
William Cunningham,C,83.0,61
Radisav Curcic,C,82.0,61
Armand Cure,SF,72.0,61
Earl Cureton,SF,81.0,118
Bill Curley,SF,81.0,22
Fran Curran,SG,72.0,61
Dell Curry,SG,77.0,15
Eddy Curry,C,84.0,4
JamesOn Curry,SG,75.0,81
Michael Curry,SF,77.0,61
Seth Curry,SG,73.0,61
Stephen Curry,SG,74.0,7
Rastko Cvetkovic,C,85.0,61
Mike D'Antoni,SG,75.0,50
Pacôme Dadiet,SF,81.0,25
Ed Dahler,SF,77.0,61
Quintin Dailey,SG,75.0,7
Samuel Dalembert,C,83.0,26
Howie Dallmar,SF,76.0,61
Erick Dampier,C,83.0,10
Lou Dampier,SG,72.0,128
Bob Dandridge,SF,78.0,135
Antonio Daniels,SG,76.0,4
Dyson Daniels,SG,79.0,8
Erik Daniels,SF,80.0,61
Lloyd Daniels,SG,79.0,61
Marquis Daniels,SF,78.0,61
Mel Daniels,C,81.0,9
Troy Daniels,SG,76.0,61
Sasha Danilovic,SG,78.0,73
N'Faly Dante,C,83.0,61
Adrian Dantley,SF,77.0,6
Henry Darcey,C,79.0,61
Jimmy Darden,SG,73.0,61
Yinka Dare,PF,84.0,14
Jesse Dark,SG,76.0,62
Nate Darling,SG,78.0,61
Jimmy Darrow,SG,70.0,158
Gigi Datome,SF,80.0,61
Brad Daugherty,C,84.0,1
Kornel David,SF,81.0,61
Jermareo Davidson,SF,82.0,66
Bob Davies,SG,73.0,61
Brandon Davies,SF,82.0,61
Anthony Davis,PF,82.0,1
Antonio Davis,PF,81.0,75
Aubrey Davis,SG,74.0,61
Baron Davis,SG,75.0,3
Ben Davis,SF,81.0,73
Bill Davis,SF,75.0,490
Bob Davis,SF,79.0,44
Brad Davis,SG,75.0,15
Brian Davis,SF,79.0,78
Charlie Davis,SF,79.0,65
Charlie Davis,SG,73.0,330
Dale Davis,PF,83.0,13
Deyonta Davis,PF,83.0,61
Double D Davis,SF,80.0,3
Ed Davis,PF,81.0,13
Edward Davis,SF,79.0,293
Emanual Davis,SG,77.0,61
Glen Davis,PF,81.0,65
Harry Davis,SF,79.0,63
Hubert Davis,SG,77.0,20
James Davis,C,79.0,202
Jim Davis,C,81.0,117
Johnny Davis,SG,74.0,52
Johnny Davis,SG,76.0,10
Josh Davis,SF,80.0,61
Mark Davis,SG,79.0,78
Mark Davis,SF,78.0,169
Mel Davis,SF,78.0,14
Michael Davis,SF,82.0,61
Mike Davis,SG,75.0,14
Monti Davis,SF,79.0,21
Paul Davis,C,83.0,64
Ralph Davis,SG,76.0,77
Ricky Davis,SF,79.0,21
Ron Davis,SG,78.0,190
Terence Davis,SG,76.0,61
Terry Davis,PF,82.0,61
Tyler Davis,C,82.0,61
Walt Davis,C,80.0,61
Walter Davis,SG,78.0,5
JD Davison,SG,73.0,83
Andre Dawkins,SG,77.0,61
Darryl Dawkins,C,83.0,5
Johnny Dawkins,SG,74.0,10
Paul Dawkins,SF,77.0,455
Branden Dawson,SF,78.0,86
Eric Dawson,SF,81.0,61
Tony Dawson,SF,79.0,61
Todd Day,SG,78.0,8
Austin Daye,SF,83.0,15
Darren Daye,SF,80.0,117
Darius Days,SF,79.0,61
Nando De Colo,SG,77.0,83
Dave DeBusschere,SF,78.0,61
Andrew DeClercq,C,82.0,64
Javin DeLaurier,C,82.0,61
Nate DeLong,C,78.0,61
DeMar DeRozan,SG,78.0,9
Hank DeZonie,SF,77.0,61
Greg Deane,SG,76.0,157
Gabriel Deck,SF,78.0,61
Dewayne Dedmon,C,82.0,61
Archie Dees,SF,80.0,2
Terry Dehere,SG,76.0,13
Red Dehnert,Unknown,,61
Bryce Dejean-Jones,SG,78.0,61
Sam Dekker,SF,81.0,18
Vinny Del Negro,SG,76.0,59
Malcolm Delaney,SG,75.0,61
Bison Dele,PF,83.0,10
Carlos Delfino,SG,78.0,25
Angel Delgado,C,82.0,61
Tony Delk,SG,74.0,16
Matthew Dellavedova,SG,75.0,61
Fennis Dembo,SF,77.0,60
Larry Demic,SF,81.0,9
Dell Demps,SG,75.0,61
George Dempsey,SG,75.0,248
Luol Deng,SF,81.0,7
Kenny Dennard,SF,80.0,168
Blaine Denning,SG,74.0,61
Dexter Dennis,SG,77.0,61
RayJ Dennis,SG,73.0,61
Justin Dentmon,SG,71.0,61
Randy Denton,C,82.0,151
Rod Derline,SG,72.0,439
Marcus Derrickson,SF,79.0,61
Dave Deutsch,SG,73.0,428
Walter Devlin,SG,77.0,39
Ernie DiGregorio,SG,72.0,3
Donte DiVincenzo,SG,76.0,17
Moussa Diabaté,SF,82.0,73
Mamadi Diakite,SF,81.0,61
Derrick Dial,SG,76.0,82
Cheick Diallo,PF,80.0,63
Hamidou Diallo,SG,77.0,75
Boris Diaw,PF,80.0,21
Mohamed Diawara,SF,81.0,81
Yakhouba Diawara,SF,79.0,61
Guillermo Diaz,SG,74.0,82
Gradey Dick,SG,79.0,13
Dan Dickau,SG,72.0,28
Kaniel Dickens,SF,80.0,80
Henry Dickerson,SG,76.0,61
Michael Dickerson,SG,77.0,14
Derrek Dickey,SF,79.0,59
Dick Dickey,SG,73.0,61
Hunter Dickinson,C,85.0,61
Travis Diener,SG,73.0,68
Gorgui Dieng,C,82.0,21
Ousmane Dieng,SF,81.0,11
Connie Dierking,C,82.0,5
Coby Dietrick,C,83.0,425
Mickey Dillard,SG,75.0,115
Bob Dille,SF,75.0,61
Rob Dillingham,SG,74.0,8
John Dillon,SF,75.0,61
Byron Dinkins,SG,73.0,61
Jackie Dinkins,SF,77.0,390
Bill Dinwiddie,SF,79.0,61
Spencer Dinwiddie,SG,77.0,68
Ike Diogu,SF,81.0,9
DeSagana Diop,C,84.0,8
Terry Dischinger,SF,79.0,38
Fred Diute,SG,75.0,87
Vlade Divac,C,85.0,26
Juan Dixon,SG,75.0,17
Aleksandar Djordjevic,SG,74.0,61
Earl Dodd,SF,77.0,61
Michael Doleac,C,83.0,12
Joe Dolhon,SG,72.0,61
Bob Doll,SF,76.0,61
James Donaldson,C,86.0,163
Bob Donham,SG,74.0,61
Billy Donovan,SG,71.0,128
Harry Donovan,SG,74.0,61
Luka Dončić,SF,80.0,3
Keyon Dooling,SG,75.0,10
Jacky Dorsey,SF,79.0,56
Joey Dorsey,PF,81.0,63
Tyler Dorsey,SG,77.0,71
Luguentz Dort,SG,76.0,61
Ayo Dosunmu,SG,76.0,68
Damyean Dotson,SG,77.0,74
Devon Dotson,SG,74.0,61
Quincy Douby,SG,75.0,19
Bruce Douglas,SG,75.0,117
John Douglas,SG,74.0,268
Leon Douglas,C,82.0,4
Sherman Douglas,SG,73.0,58
Toney Douglas,SG,74.0,29
Chris Douglas-Roberts,SG,79.0,70
Sekou Doumbouya,SF,80.0,15
Lloyd Dove,SF,80.0,4
Zabian Dowdell,SG,75.0,61
Bill Downey,C,78.0,61
Steve Downing,C,80.0,17
Jeff Dowtin Jr.,SG,75.0,61
Danny Doyle,SF,80.0,164
Milton Doyle,SG,76.0,61
PJ Dozier,SG,78.0,61
Terry Dozier,SF,81.0,61
Goran Dragic,SG,76.0,75
Zoran Dragic,SG,77.0,61
Greg Dreiling,C,85.0,56
Henri Drell,SF,81.0,61
Bryce Drew,SG,75.0,16
John Drew,SF,78.0,55
Larry Drew,SG,73.0,17
Larry Drew II,SG,74.0,61
Clyde Drexler,SG,79.0,14
Nate Driggers,SG,77.0,61
Terry Driscoll,SF,79.0,4
Predrag Drobnjak,C,83.0,78
Ralph Drollinger,C,86.0,225
Andre Drummond,C,83.0,9
Dennis DuVal,SG,75.0,60
Chris Duarte,SG,77.0,13
Alex Ducas,SG,79.0,61
Dick Duckett,SG,73.0,39
Kevin Duckworth,C,84.0,63
Charles Dudley,SG,74.0,196
Chris Dudley,C,83.0,165
Jared Dudley,SF,78.0,22
Terry Duerod,SG,74.0,108
Bob Duffy,SF,76.0,40
Bob Duffy,SG,75.0,40
Chris Duhon,SG,73.0,68
Duje Dukan,SF,81.0,61
David Duke Jr.,SG,76.0,61
Walter Dukes,C,84.0,61
Joe Dumars,SG,75.0,18
Richard Dumas,SF,79.0,76
Tony Dumas,SG,78.0,19
Andy Duncan,SF,78.0,61
Tim Duncan,PF,83.0,1
Mike Dunleavy,SG,81.0,3
Mike Dunleavy,SG,75.0,249
Kris Dunn,SG,75.0,5
Pat Dunn,SG,74.0,61
Ryan Dunn,SF,79.0,28
T.R. Dunn,SG,76.0,71
Ronald Dupree,SF,79.0,61
Kevin Durant,SF,83.0,2
Jalen Duren,C,82.0,13
John Duren,SG,75.0,19
Pat Durham,SF,79.0,65
Devin Durrant,SF,79.0,55
Ken Durrett,SF,79.0,4
Trevon Duval,SG,74.0,61
Jack Dwan,SF,76.0,61
Craig Dykema,SF,80.0,126
Gene Dyker,SF,78.0,61
Jerome Dyson,SG,75.0,61
Egor Dëmin,SG,80.0,8
Ledell Eackles,SG,77.0,66
Jim Eakins,C,83.0,177
Acie Earl,PF,83.0,19
Ed Earle,SF,75.0,61
Cleanthony Early,SF,80.0,64
Tari Eason,SF,80.0,17
Mark Eaton,C,88.0,162
Jerry Eaves,SG,76.0,115
Devin Ebanks,SF,81.0,73
Bill Ebben,SG,76.0,78
Al Eberhard,SF,78.0,15
Ndudi Ebi,SF,81.0,26
Jaime Echenique,C,82.0,61
Jarell Eddie,SG,79.0,61
Patrick Eddie,C,83.0,61
Thomas Eddleman,SF,74.0,61
Kent Edelin,SF,80.0,320
Zach Edey,C,87.0,9
VJ Edgecombe,SG,76.0,3
Keith Edmonson,SG,77.0,10
Tyus Edney,SG,70.0,77
Anthony Edwards,SG,76.0,1
Bill Edwards,SF,80.0,61
Blue Edwards,SG,76.0,21
Carsen Edwards,SG,71.0,63
Corsley Edwards,SF,81.0,87
Doug Edwards,SF,79.0,15
Franklin Edwards,SG,73.0,22
James Edwards,C,85.0,106
Jay Edwards,SF,76.0,63
Jesse Edwards,C,84.0,61
John Edwards,C,84.0,61
Justin Edwards,SF,79.0,61
Kessler Edwards,SF,79.0,74
Kevin Edwards,SG,75.0,20
Rob Edwards,SG,77.0,61
Shane Edwards,Unknown,,61
Vincent Edwards,SF,80.0,82
Johnny Egan,SG,72.0,42
Lonnie Eggleston,SG,72.0,61
Eddie Ehlers,SG,75.0,3
Craig Ehlo,SG,79.0,108
Dick Eichhorst,SG,75.0,61
Howard Eisley,SG,74.0,60
Obinna Ekezie,PF,81.0,67
Khalid El-Amin,SG,70.0,64
Don Eliason,SF,74.0,61
Mario Elie,SG,77.0,340
CJ Elleby,SF,78.0,76
Ray Ellefson,C,80.0,61
Henry Ellenson,SF,83.0,18
Wayne Ellington,SG,76.0,28
Bob Elliott,C,81.0,72
Sean Elliott,SF,80.0,3
Alexander Ellis,SF,77.0,76
Bo Ellis,SF,81.0,17
Dale Ellis,SG,79.0,9
Harold Ellis,SF,77.0,61
Joe Ellis,SF,78.0,43
Keon Ellis,SG,76.0,61
LaPhonso Ellis,SF,80.0,5
LeRon Ellis,C,81.0,22
Leroy Ellis,SF,83.0,6
Monta Ellis,SG,75.0,70
Pervis Ellison,PF,82.0,1
Len Elmore,C,82.0,13
Francisco Elson,PF,84.0,71
Darrell Elston,SG,75.0,103
Melvin Ely,PF,82.0,12
Joel Embiid,PF,84.0,3
Wayne Embry,C,80.0,82
Andre Emmett,SG,77.0,65
Tristan Enaruna,SF,79.0,61
Ned Endress,SF,74.0,61
Chris Engler,C,83.0,120
Wayne Englestad,SF,80.0,61
A.J. English,SG,75.0,67
Alex English,SF,80.0,53
Claude English,SG,76.0,290
Jojo English,SG,76.0,61
Kim English,SG,78.0,74
Scott English,SF,78.0,93
Gene Englund,SF,76.0,61
Tyler Ennis,SG,75.0,18
James Ennis III,SF,78.0,80
Ray Epps,SF,78.0,224
Semih Erden,C,84.0,90
Bo Erias,SF,75.0,163
Keith Erickson,SF,77.0,78
Julius Erving,SF,79.0,12
Evan Eschmeyer,C,83.0,64
Jack Eskridge,Unknown,,61
Vincenzo Esposito,SG,75.0,61
Noa Essengue,SF,80.0,12
Tyson Etienne,SG,72.0,61
Drew Eubanks,PF,82.0,61
Bob Evans,SG,74.0,61
Brian Evans,SF,80.0,27
Earl Evans,SF,80.0,367
Jacob Evans,SG,76.0,28
Jawun Evans,SG,72.0,69
Jeremy Evans,SF,81.0,85
Maurice Evans,SG,77.0,61
Mike Evans,SG,73.0,21
Reggie Evans,PF,80.0,61
Tyreke Evans,SG,78.0,4
Tosan Evbuomwan,SF,80.0,61
Daniel Ewing,SG,75.0,62
Patrick Ewing,C,84.0,1
Patrick Ewing,SF,80.0,73
Dante Exum,SG,77.0,5
Christian Eyenga,SF,79.0,30
Festus Ezeli,C,83.0,30
Johnny Ezersky,SF,75.0,61
Joe Fabel,SF,73.0,61
John Fairchild,SF,79.0,46
Tacko Fall,C,89.0,61
Phil Farbman,SF,73.0,61
Kenneth Faried,PF,80.0,22
Dick Farley,SG,76.0,45
Jordan Farmar,SG,74.0,26
Desmon Farmer,SG,77.0,61
Jim Farmer,SF,76.0,20
Mike Farmer,SF,79.0,3
Tony Farmer,SF,81.0,61
Bob Faught,SF,77.0,61
Vitor Faverani,C,83.0,61
Derrick Favors,SF,81.0,3
Nick Fazekas,SF,83.0,64
Jeremiah Fears,SG,75.0,7
Dave Fedor,SF,78.0,83
Bob Feerick,SG,75.0,61
Butch Feher,SG,76.0,63
Jamie Feick,SF,80.0,78
Ron Feiereisel,SG,75.0,61
George Feigenbaum,SG,73.0,61
Dave Feitl,C,83.0,73
Kay Felder,SG,69.0,84
Cristiano Felicio,PF,83.0,61
Carrick Felix,SG,78.0,63
Noel Felix,SF,81.0,61
Ray Felix,C,83.0,1
Raymond Felton,SG,73.0,5
Jake Fendley,SG,72.0,83
Bill Fenley,SF,75.0,61
Desmond Ferguson,SF,79.0,61
Terrance Ferguson,SG,78.0,21
Rudy Fernandez,SG,78.0,24
Bruno Fernando,PF,81.0,64
Eric Fernsten,C,82.0,152
Al Ferrari,SG,76.0,75
Rolando Ferreira,SF,85.0,56
Duane Ferrell,SF,79.0,61
Yogi Ferrell,SG,72.0,61
Arnie Ferrin,SF,76.0,61
Bob Ferry,C,80.0,61
Danny Ferry,SF,82.0,2
Kyrylo Fesenko,C,85.0,68
Kenny Fields,SF,77.0,21
Landry Fields,SG,79.0,69
Ron Filipek,SF,77.0,340
Kyle Filipowski,C,83.0,62
Greg Fillmore,C,85.0,346
Hank Finkel,C,84.0,47
Michael Finley,SG,79.0,21
Danny Finn,SG,73.0,61
Dorian Finney-Smith,SF,79.0,61
Matt Fish,C,83.0,80
Derek Fisher,SG,73.0,24
Gerald Fitch,SG,75.0,61
Malik Fitts,SF,77.0,61
Bob Fitzgerald,SF,77.0,61
Dick Fitzgerald,SF,74.0,61
Marcus Fizer,SF,80.0,4
Cooper Flagg,SF,81.0,1
Adam Flagler,SG,75.0,61
Jerry Fleishman,SG,74.0,61
Al Fleming,SF,79.0,60
Ed Fleming,SG,75.0,76
Rasheer Fleming,SF,81.0,61
Vern Fleming,SG,77.0,18
Luis Flores,SG,74.0,85
Bruce Flowers,SF,80.0,56
Trentyn Flowers,SF,81.0,61
Sleepy Floyd,SG,75.0,13
Jonny Flynn,SG,72.0,6
Malachi Flynn,SG,73.0,29
Mike Flynn,SG,74.0,293
Larry Fogle,SG,77.0,64
Jack Foley,SF,75.0,46
Ike Fontaine,Unknown,,61
Levi Fontaine,SG,76.0,190
Simone Fontecchio,SF,79.0,61
Jeff Foote,PF,84.0,61
Bryn Forbes,SG,74.0,61
Gary Forbes,SF,79.0,61
Aleem Ford,SF,80.0,61
Alphonso Ford,SF,73.0,62
Alton Ford,SF,81.0,80
Chris Ford,SG,77.0,47
Don Ford,SF,81.0,242
Jake Ford,SG,75.0,50
Jordan Ford,SG,73.0,61
Phil Ford,SG,74.0,2
Sharrod Ford,SF,81.0,61
Sherell Ford,SF,79.0,26
T.J. Ford,SG,72.0,8
Donnie Forman,SG,70.0,61
Bayard Forrest,C,82.0,49
Trent Forrest,SG,76.0,61
Joseph Forte,SG,76.0,21
Courtney Fortson,SG,71.0,61
Danny Fortson,PF,80.0,10
Fred Foster,SF,77.0,88
Greg Foster,C,83.0,65
Jeff Foster,PF,83.0,21
Rod Foster,SG,73.0,58
Michael Foster Jr.,SF,80.0,61
Antonis Fotsis,SF,82.0,77
Evan Fournier,SG,78.0,20
Larry Foust,C,81.0,5
Jerry Fowler,C,79.0,61
Tremaine Fowlkes,SF,78.0,84
De'Aaron Fox,SG,75.0,5
Harold Fox,SG,74.0,45
Jim Fox,C,82.0,277
Rick Fox,SF,79.0,24
Randy Foye,SG,76.0,7
Adonal Foyle,C,82.0,8
Richie Frahm,SG,77.0,61
Steve Francis,SG,75.0,2
Tellis Frank,SF,82.0,14
Nat Frankel,SF,72.0,61
Jamaal Franklin,SG,77.0,71
Robert Franks,SF,79.0,61
Tim Frazier,SG,72.0,61
Walt Frazier,SG,76.0,5
Will Frazier,SF,79.0,39
Michael Frazier II,SG,75.0,61
Melvin Frazier Jr.,SG,77.0,65
Anthony Frederick,SF,79.0,283
Jimmer Fredette,SG,74.0,10
World Free,SG,75.0,53
Enes Freedom,C,82.0,3
Joel Freeland,PF,82.0,30
Donnie Freeman,SG,75.0,89
Enrique Freeman,SF,81.0,80
Gary Freeman,SF,81.0,16
Rod Freeman,SF,79.0,466
Javon Freeman-Liberty,SG,75.0,61
Matt Freije,SF,81.0,83
Frido Frey,SF,74.0,61
Larry Friend,SG,76.0,43
Pat Frink,SG,76.0,87
Jim Fritsche,C,80.0,7
Channing Frye,PF,84.0,8
Bernie Fryer,SG,75.0,289
Frank Fucarino,SF,74.0,61
Alex Fudge,SF,80.0,61
Herm Fuetsch,SG,72.0,61
Joe Fulks,SF,77.0,61
Hiram Fuller,SF,81.0,61
Todd Fuller,C,83.0,11
Tony Fuller,SG,76.0,213
Markelle Fultz,SG,76.0,1
Lawrence Funderburke,SF,81.0,81
Andrew Funk,SG,77.0,61
Terry Furlow,SG,77.0,12
Johnny Furphy,SG,80.0,65
Billy Gabor,SG,71.0,61
Wenyen Gabriel,SF,81.0,61
Dan Gadzuric,C,83.0,63
Tony Gaffney,SF,80.0,61
Daniel Gafford,PF,82.0,68
Deng Gai,SF,81.0,61
Elmer R. Gainer,Unknown,,61
Corey Gaines,SG,75.0,125
Reece Gaines,SG,78.0,15
Sundiata Gaines,SG,73.0,61
Mike Gale,SG,76.0,107
Chad Gallagher,C,82.0,62
Harry Gallatin,SF,78.0,61
Danilo Gallinari,SF,82.0,6
Jaylin Galloway,SF,78.0,61
Langston Galloway,SG,73.0,61
Dave Gambee,SF,78.0,6
Kevin Gamble,SG,78.0,123
Bob Gantt,SF,76.0,61
Jorge Garbajosa,SF,81.0,61
Ruben Garces,SF,,61
Alex Garcia,SG,75.0,61
Andersson Garcia,SF,79.0,61
Francisco Garcia,SG,79.0,23
Earl Gardner,SF,75.0,61
Myron Gardner,SF,77.0,61
Thomas Gardner,SG,77.0,61
Vern Gardner,C,77.0,5
Jack Garfinkel,SG,72.0,61
Patricio Garino,SG,78.0,61
Darius Garland,SG,73.0,5
Gary Garland,SG,76.0,60
Winston Garland,SG,74.0,70
Dick Garmaker,SG,75.0,61
Chris Garner,SG,70.0,61
Bill Garnett,SF,81.0,4
Kevin Garnett,SF,83.0,5
Marlon Garnett,SG,74.0,61
Billy Garrett,SG,78.0,61
Calvin Garrett,SF,79.0,107
Dean Garrett,C,83.0,68
Diante Garrett,SG,76.0,61
Eldo Garrett,SG,75.0,57
Marcus Garrett,SG,77.0,61
Rowland Garrett,SF,78.0,198
Tom Garrick,SG,74.0,75
John Garris,SF,80.0,57
Kiwane Garris,SG,74.0,61
Pat Garrity,SF,81.0,19
Usman Garuba,SF,80.0,23
Jim Garvin,SF,79.0,684
Luka Garza,C,82.0,82
Marc Gasol,C,83.0,78
Pau Gasol,PF,84.0,3
Frank Gates,SG,72.0,61
Kaiser Gates,SF,79.0,61
Chris Gatling,PF,82.0,16
Kenny Gattison,SF,80.0,115
Rudy Gay,SF,80.0,8
Ed Gayda,SG,76.0,61
Andrew Gaze,SF,79.0,61
Michael Gbinije,SG,79.0,79
Reggie Geary,SG,74.0,86
Alonzo Gee,SF,78.0,61
Matt Geiger,C,85.0,72
Mickael Gelabale,SF,79.0,78
Devean George,SF,80.0,23
Jack George,SG,75.0,61
Keyonte George,SG,76.0,16
Kyshawn George,SF,80.0,24
Paul George,SF,80.0,10
Tate George,SG,77.0,22
Marcus Georges-Hunt,SG,77.0,61
Gus Gerard,SF,80.0,110
Derrick Gervin,SF,80.0,180
George Gervin,SG,79.0,100
Gorham Getchell,C,76.0,61
John Gianelli,C,82.0,50
Dick Gibbs,SF,77.0,109
Daniel Gibson,SG,74.0,72
Dee Gibson,SG,71.0,61
Jonathan Gibson,SG,74.0,61
Mel Gibson,SG,75.0,46
Mike Gibson,SF,82.0,74
Taj Gibson,SF,81.0,26
Ward Gibson,Unknown,,61
J.R. Giddens,SG,77.0,30
Josh Giddey,SG,79.0,6
Keshon Gilbert,SG,76.0,61
Trey Gilder,SF,81.0,61
Harry Giles III,PF,82.0,20
Shai Gilgeous-Alexander,SG,78.0,11
Anthony Gill,SF,79.0,61
Eddie Gill,SG,72.0,61
Kendall Gill,SG,77.0,5
Ben Gillery,C,84.0,61
Collin Gillespie,SG,73.0,61
Freddie Gillespie,SF,81.0,61
Gene Gillette,Unknown,,61
Armen Gilliam,SF,81.0,2
Herm Gilliam,SG,75.0,8
Artis Gilmore,C,86.0,297
Walt Gilmore,SF,78.0,55
Chuck Gilmur,SF,76.0,61
Jacob Gilyard,SG,68.0,61
Manu Ginobili,SG,78.0,87
Gordan Giricek,SG,78.0,70
Jack Givens,SF,77.0,16
Mickell Gladness,C,83.0,61
George Glamack,C,78.0,61
