PLAYER_NAME,SEASON,CLUSTER,ARCHETYPE,DIST_TO_CENTROID,UMAP_1,UMAP_2,USG_PCT,AST_PCT,REB_PCT,OREB_PCT,DREB_PCT,TS_PCT,E_TOV_PCT,PACE
Bobby Jackson,2004-05,4,Cluster 4,1.392081523881018,2.1760116,0.9812982,0.246,0.195,0.074,0.04,0.108,0.537,7.6,94.88
Darrell Armstrong,2004-05,0,Cluster 0,1.3826412000724422,-1.0789636,2.1186817,0.165,0.295,0.058,0.034,0.083,0.43,12.1,94.77
Bobby Simmons,2004-05,2,Cluster 2,1.4226507746787995,2.0090845,2.5206368,0.204,0.126,0.083,0.049,0.116,0.54,9.1,91.1
Bonzi Wells,2004-05,2,Cluster 2,2.0978242526494526,1.8724368,1.8925838,0.246,0.106,0.082,0.035,0.131,0.515,10.3,90.85
Boris Diaw,2004-05,0,Cluster 0,1.77139094291086,-1.152628,2.5459778,0.153,0.202,0.073,0.044,0.105,0.479,15.4,94.37
Bostjan Nachbar,2004-05,2,Cluster 2,1.8838964748986091,2.234549,2.9603236,0.184,0.102,0.07,0.018,0.126,0.534,12.0,90.29
Brad Miller,2004-05,1,Cluster 1,2.1884133826830148,4.4416847,4.0726724,0.173,0.16,0.124,0.068,0.177,0.596,7.9,95.48
Brendan Haywood,2004-05,3,Cluster 3,2.3294136665131715,5.544326,5.8517323,0.148,0.047,0.12,0.105,0.135,0.588,13.8,95.85
Brent Barry,2004-05,2,Cluster 2,1.4536326771956585,1.6363721,2.6634865,0.148,0.168,0.056,0.017,0.095,0.58,8.4,92.64
Antoine Walker,2004-05,1,Cluster 1,1.9323299189221776,5.7276235,3.3361573,0.268,0.163,0.122,0.061,0.188,0.478,12.3,93.37
Anthony Johnson,2004-05,0,Cluster 0,2.208777398629868,0.08360194,2.244131,0.164,0.309,0.054,0.02,0.086,0.526,10.6,88.94
Anthony Goldwire,2004-05,2,Cluster 2,2.286090201558837,1.3936977,2.491601,0.143,0.252,0.058,0.02,0.096,0.575,6.2,91.82
Antawn Jamison,2004-05,2,Cluster 2,2.235068485355297,3.778729,2.7057,0.234,0.101,0.097,0.058,0.138,0.506,7.4,96.19
Aaron McKie,2004-05,2,Cluster 2,3.439178116967596,3.6597033,1.7131908,0.068,0.135,0.075,0.017,0.135,0.51,11.0,99.06
Adonal Foyle,2004-05,3,Cluster 3,1.8269343180771134,5.3352532,5.804164,0.104,0.048,0.122,0.093,0.152,0.514,12.7,94.87
Al Harrington,2004-05,3,Cluster 3,1.731468312822831,5.5289755,3.0476146,0.236,0.148,0.096,0.057,0.139,0.508,13.1,92.35
Alan Henderson,2004-05,5,Cluster 5,1.941311408163474,5.6259875,6.1604967,0.111,0.029,0.141,0.133,0.149,0.539,15.1,95.29
Alex Garcia,2004-05,0,Cluster 0,2.276641362992039,-0.18263316,3.1560307,0.196,0.228,0.057,0.048,0.069,0.409,10.0,88.51
Allan Houston,2004-05,2,Cluster 2,2.190802140314396,1.0201694,2.5510485,0.207,0.127,0.023,0.008,0.039,0.529,7.3,92.05
Allen Iverson,2004-05,4,Cluster 4,2.9493229809911647,1.0142803,0.8108847,0.344,0.361,0.047,0.016,0.079,0.532,11.1,97.37
Alonzo Mourning,2004-05,5,Cluster 5,2.121978829623273,6.5074806,4.9228806,0.22,0.052,0.144,0.082,0.2,0.515,16.3,89.74
Amar'e Stoudemire,2004-05,1,Cluster 1,2.876810329045577,4.8466287,3.4477673,0.283,0.075,0.121,0.079,0.157,0.617,9.4,97.43
Anderson Varejao,2004-05,5,Cluster 5,2.1767003869069614,7.363172,5.5183864,0.14,0.05,0.148,0.12,0.18,0.534,8.6,90.75
Andre Iguodala,2004-05,3,Cluster 3,2.6730471389432617,3.6294007,1.6429247,0.127,0.139,0.087,0.033,0.141,0.58,13.6,97.31
Andre Miller,2004-05,4,Cluster 4,1.4771404221066595,-0.39744118,1.1390471,0.194,0.315,0.061,0.037,0.084,0.541,12.1,94.84
Andrei Kirilenko,2004-05,1,Cluster 1,2.3976725014834344,6.726551,3.6919231,0.214,0.178,0.104,0.074,0.132,0.599,11.9,89.76
Andres Nocioni,2004-05,3,Cluster 3,1.715128469297027,5.2190895,4.541858,0.194,0.111,0.101,0.036,0.166,0.484,14.1,95.48
Anfernee Hardaway,2004-05,0,Cluster 0,1.085822229333474,-0.16674632,3.7216194,0.165,0.141,0.053,0.022,0.086,0.48,12.4,93.26
Brevin Knight,2004-05,4,Cluster 4,2.8784173060505425,-0.3400491,1.1050482,0.18,0.462,0.044,0.01,0.082,0.495,10.4,95.14
Brian Cardinal,2004-05,3,Cluster 3,1.6569345691237636,3.100074,3.5355563,0.194,0.135,0.084,0.048,0.119,0.51,11.7,90.7
Brian Cook,2004-05,2,Cluster 2,1.9295883495140589,3.4910595,2.881043,0.19,0.056,0.098,0.057,0.14,0.522,5.8,93.77
Chris Webber,2004-05,1,Cluster 1,2.908379657392668,5.415714,3.2616634,0.292,0.231,0.129,0.056,0.199,0.472,9.7,96.35
Christian Laettner,2004-05,2,Cluster 2,2.1283134579686562,4.109239,3.7380152,0.148,0.091,0.089,0.053,0.119,0.619,10.4,93.61
Chucky Atkins,2004-05,2,Cluster 2,1.881481310762435,0.68986374,1.9869635,0.177,0.201,0.033,0.011,0.055,0.558,10.0,93.67
Clifford Robinson,2004-05,2,Cluster 2,1.2539003811102933,2.6383417,3.5283277,0.166,0.102,0.062,0.029,0.099,0.471,9.0,94.17
Corey Maggette,2004-05,4,Cluster 4,1.885838319109557,2.0494072,1.2063085,0.272,0.167,0.085,0.031,0.135,0.574,11.5,92.47
Corliss Williamson,2004-05,2,Cluster 2,1.9025945223634044,3.9210804,2.6153111,0.219,0.09,0.084,0.066,0.102,0.536,10.1,96.49
Cuttino Mobley,2004-05,2,Cluster 2,1.5722181963356743,2.9483535,1.3033324,0.212,0.122,0.048,0.019,0.076,0.555,9.9,96.12
Dale Davis,2004-05,5,Cluster 5,1.3962954986292937,7.1423492,5.5908475,0.113,0.057,0.145,0.117,0.172,0.512,11.7,91.25
Damien Wilkins,2004-05,2,Cluster 2,2.0056489966574818,2.0110807,3.3533943,0.176,0.091,0.069,0.057,0.083,0.5,7.1,89.78
Damon Jones,2004-05,2,Cluster 2,2.37631685818284,1.5768828,2.3425603,0.15,0.201,0.046,0.006,0.082,0.625,8.1,93.97
Damon Stoudamire,2004-05,4,Cluster 4,1.3085907393527287,0.58471805,1.5057626,0.23,0.283,0.057,0.021,0.091,0.51,8.7,91.45
Dan Dickau,2004-05,4,Cluster 4,1.821636762147476,0.28068885,1.8963457,0.219,0.309,0.045,0.016,0.075,0.518,10.8,90.19
Dan Gadzuric,2004-05,5,Cluster 5,2.1373271794042843,7.164486,6.087021,0.155,0.026,0.192,0.147,0.238,0.551,12.5,92.28
Danny Fortson,2004-05,5,Cluster 5,4.321423729092963,6.825789,6.2617416,0.187,0.013,0.175,0.16,0.19,0.682,20.8,90.19
Darius Miles,2004-05,3,Cluster 3,2.2104030851226097,5.245266,2.812056,0.253,0.143,0.089,0.045,0.127,0.511,14.6,93.19
Darius Songaila,2004-05,3,Cluster 3,1.7741161904824245,4.2917156,3.8821568,0.161,0.106,0.104,0.075,0.133,0.566,9.7,94.05
Chris Wilcox,2004-05,3,Cluster 3,1.6931795584927674,6.2146864,4.7116184,0.212,0.068,0.12,0.069,0.166,0.543,15.2,91.59
Chris Mihm,2004-05,5,Cluster 5,1.3173095343567716,6.7584767,5.7098794,0.186,0.046,0.133,0.107,0.159,0.552,13.3,92.85
Brian Grant,2004-05,3,Cluster 3,1.5202496160081318,5.172252,5.8237305,0.113,0.048,0.111,0.088,0.133,0.539,13.4,93.8
Chris Kaman,2004-05,5,Cluster 5,1.2486376707005766,6.4547324,5.08069,0.185,0.077,0.137,0.088,0.185,0.522,15.6,91.09
Brian Scalabrine,2004-05,3,Cluster 3,1.122548976001657,5.9510565,4.161667,0.166,0.132,0.109,0.072,0.149,0.468,12.8,91.6
Brian Skinner,2004-05,5,Cluster 5,2.149957074076824,6.148005,5.922903,0.126,0.067,0.147,0.107,0.191,0.494,12.5,96.91
Bruce Bowen,2004-05,2,Cluster 2,2.194326983736553,1.9563506,3.5093787,0.126,0.075,0.056,0.02,0.092,0.521,6.9,89.59
Calbert Cheaney,2004-05,2,Cluster 2,1.9393483853263969,2.8843522,3.4693234,0.147,0.116,0.063,0.031,0.098,0.444,9.2,95.1
Carlos Arroyo,2004-05,0,Cluster 0,1.4062727457919684,-0.46229333,2.29212,0.187,0.332,0.037,0.018,0.059,0.466,12.1,91.68
Carlos Boozer,2004-05,1,Cluster 1,1.1735359361534605,7.624929,4.166619,0.242,0.147,0.142,0.087,0.198,0.56,12.5,91.84
Carlos Delfino,2004-05,0,Cluster 0,1.3567621902815659,-0.47398996,3.7614217,0.158,0.138,0.065,0.03,0.1,0.431,11.8,91.83
Carmelo Anthony,2004-05,4,Cluster 4,2.306112955200512,2.7165754,0.8459194,0.286,0.129,0.084,0.057,0.109,0.526,11.8,95.95
Caron Butler,2004-05,2,Cluster 2,0.9993016471989431,3.4439638,2.697365,0.204,0.091,0.081,0.053,0.109,0.528,8.9,93.56
Casey Jacobsen,2004-05,2,Cluster 2,1.4386466533330278,1.6313136,2.899706,0.141,0.102,0.046,0.02,0.072,0.555,10.5,92.9
Charlie Ward,2004-05,0,Cluster 0,1.1037418247305535,-0.68414044,3.540172,0.132,0.189,0.056,0.017,0.093,0.453,12.5,91.78
Chauncey Billups,2004-05,4,Cluster 4,2.6758224688657624,0.6715172,2.2079673,0.203,0.277,0.048,0.018,0.078,0.609,10.4,88.65
Chris Andersen,2004-05,5,Cluster 5,1.9961495176103132,7.4190693,5.3118787,0.166,0.093,0.15,0.102,0.196,0.581,11.1,89.52
Chris Bosh,2004-05,1,Cluster 1,1.0315886640284553,5.4434905,3.6313317,0.217,0.086,0.123,0.066,0.181,0.547,11.8,94.29
Chris Duhon,2004-05,0,Cluster 0,1.354158937120598,-0.8416716,2.4571073,0.13,0.28,0.049,0.01,0.088,0.471,11.5,93.89
John Salmons,2004-05,0,Cluster 0,2.4073872942953374,3.661242,1.511608,0.125,0.193,0.06,0.012,0.109,0.511,12.9,96.92
Dwight Howard,2004-05,5,Cluster 5,2.018309841945881,6.3955593,6.218315,0.167,0.043,0.156,0.111,0.199,0.571,15.0,96.58
Josh Childress,2004-05,3,Cluster 3,1.4567190976709947,4.4176283,3.8767796,0.155,0.1,0.105,0.081,0.131,0.543,10.6,94.87
Sam Cassell,2004-05,4,Cluster 4,1.2261428872421036,0.5963649,1.1281915,0.255,0.336,0.051,0.017,0.083,0.529,9.4,92.51
Ricky Davis,2004-05,4,Cluster 4,1.6074590182323427,2.730167,0.8909431,0.232,0.163,0.047,0.026,0.067,0.547,12.5,95.4
Robert Horry,2004-05,3,Cluster 3,0.8608239530123221,5.944575,4.224611,0.16,0.091,0.101,0.068,0.134,0.533,12.1,91.75
Robert Traylor,2004-05,3,Cluster 3,1.457076838608996,6.3365498,5.2926908,0.171,0.075,0.124,0.097,0.152,0.461,12.6,92.24
Rodney Buford,2004-05,2,Cluster 2,2.3000541915228463,2.3842285,3.8519099,0.188,0.093,0.074,0.024,0.13,0.437,5.8,92.9
Rodney Rogers,2004-05,3,Cluster 3,1.3167463561934711,5.406351,4.161563,0.188,0.11,0.092,0.044,0.143,0.462,13.2,93.01
Ron Mercer,2004-05,0,Cluster 0,2.458291117997947,1.0014724,3.4469523,0.205,0.111,0.051,0.022,0.083,0.422,7.1,92.22
Ruben Patterson,2004-05,3,Cluster 3,2.216633731087233,4.261552,3.2631416,0.2,0.12,0.07,0.068,0.072,0.558,14.2,92.13
Samuel Dalembert,2004-05,5,Cluster 5,2.265626501731067,6.271877,6.2004986,0.16,0.031,0.152,0.107,0.195,0.543,16.5,97.43
Pau Gasol,2004-05,1,Cluster 1,1.7228445924588265,7.375728,3.9671483,0.257,0.143,0.121,0.079,0.161,0.582,12.1,90.52
Scot Pollard,2004-05,5,Cluster 5,1.97391514053713,7.0132046,5.3904567,0.12,0.034,0.129,0.107,0.152,0.506,13.0,88.56
Sebastian Telfair,2004-05,0,Cluster 0,1.5275735296507067,-1.0431554,1.4310946,0.208,0.28,0.04,0.008,0.069,0.471,14.9,93.79
Shandon Anderson,2004-05,3,Cluster 3,1.5515771107214773,4.0909586,5.23492,0.117,0.091,0.084,0.039,0.123,0.518,13.7,93.66
Shane Battier,2004-05,2,Cluster 2,1.9894334600077879,2.2881184,3.2731402,0.145,0.081,0.086,0.066,0.105,0.555,8.2,90.41
Shaquille O'Neal,2004-05,1,Cluster 1,2.290027643598698,7.692444,3.978626,0.301,0.149,0.158,0.112,0.197,0.583,11.1,92.65
Shareef Abdur-Rahim,2004-05,1,Cluster 1,1.5927487382641725,6.3938174,3.712163,0.216,0.106,0.107,0.069,0.143,0.581,11.6,91.95
Shaun Livingston,2004-05,0,Cluster 0,1.557491523862277,-1.1446102,1.7525939,0.172,0.287,0.057,0.03,0.082,0.461,16.1,93.45
Rick Brunson,2004-05,0,Cluster 0,1.4157269672549884,-0.8110028,2.5863993,0.141,0.332,0.05,0.013,0.086,0.46,12.4,91.79
Richard Jefferson,2004-05,4,Cluster 4,2.7564619674089,1.8109611,1.2979151,0.281,0.204,0.093,0.039,0.145,0.537,13.9,89.65
Richard Hamilton,2004-05,4,Cluster 4,1.829146401581027,0.59046674,1.7771245,0.245,0.226,0.052,0.026,0.076,0.528,11.2,89.6
Reggie Miller,2004-05,2,Cluster 2,2.3278197782838426,1.5203546,2.6533906,0.198,0.125,0.039,0.009,0.067,0.582,7.3,89.72
Peja Stojakovic,2004-05,2,Cluster 2,1.5922820693254938,2.899407,2.134232,0.213,0.086,0.056,0.025,0.086,0.584,7.4,95.35
Predrag Drobnjak,2004-05,2,Cluster 2,1.7350868111753248,4.2012324,2.9059465,0.205,0.06,0.086,0.05,0.125,0.501,10.8,95.66
Primoz Brezec,2004-05,1,Cluster 1,1.7875485008134941,4.6576524,3.864308,0.181,0.063,0.117,0.094,0.144,0.55,10.1,94.89
Quentin Richardson,2004-05,2,Cluster 2,1.9391210322473726,3.1551666,2.4849722,0.186,0.077,0.08,0.032,0.122,0.522,7.4,97.98
Quinton Ross,2004-05,2,Cluster 2,1.8925159851425173,2.1700573,3.8104424,0.134,0.109,0.068,0.039,0.094,0.471,9.2,90.99
Raef LaFrentz,2004-05,1,Cluster 1,2.224331335482947,4.5391765,4.0915804,0.165,0.069,0.129,0.074,0.181,0.587,7.6,95.7
